time,open,high,low,close,volume
2022-03-03 17:00:00,154.461,154.538,154.19,154.26,10933
2022-03-03 18:00:00,154.26,154.346,154.03,154.118,8567
2022-03-03 19:00:00,154.118,154.344,154.001,154.086,10857
2022-03-03 20:00:00,154.084,154.136,154.02,154.13,6477
2022-03-03 21:00:00,154.128,154.206,153.905,153.913,5853
2022-03-03 22:00:00,153.913,154.031,153.866,153.98,6313
2022-03-03 23:00:00,153.981,154.137,153.98,154.107,4579
2022-03-04 00:00:00,154.082,154.175,154.037,154.059,744
2022-03-04 01:00:00,154.059,154.175,154.052,154.171,2928
2022-03-04 02:00:00,154.17,154.178,153.561,153.761,9715
2022-03-04 03:00:00,153.758,154.22,153.683,154.098,12624
2022-03-04 04:00:00,154.095,154.101,153.837,153.88,6438
2022-03-04 05:00:00,153.878,153.958,153.813,153.836,5258
2022-03-04 06:00:00,153.836,154.054,153.808,154.03,3424
2022-03-04 07:00:00,154.028,154.121,153.966,153.985,3602
2022-03-04 08:00:00,153.985,154.146,153.968,153.996,3738
2022-03-04 09:00:00,153.995,154.09,153.749,153.821,6920
2022-03-04 10:00:00,153.822,153.849,153.513,153.594,9493
2022-03-04 11:00:00,153.593,153.71,153.48,153.555,8430
2022-03-04 12:00:00,153.555,153.68,153.488,153.55,8106
2022-03-04 13:00:00,153.55,153.608,153.252,153.304,7885
2022-03-04 14:00:00,153.305,153.331,153.053,153.14,7785
2022-03-04 15:00:00,153.141,153.259,152.558,152.713,13056
2022-03-04 16:00:00,152.714,152.842,152.225,152.266,12225
2022-03-04 17:00:00,152.264,152.361,151.661,151.782,11844
2022-03-04 18:00:00,151.786,151.865,151.469,151.477,10681
2022-03-04 19:00:00,151.482,151.925,151.482,151.816,7754
2022-03-04 20:00:00,151.818,152.017,151.817,151.963,5683
2022-03-04 21:00:00,151.963,152.002,151.673,151.691,5218
2022-03-04 22:00:00,151.692,152.123,151.691,152.111,5445
2022-03-04 23:00:00,152.108,152.144,151.832,151.963,4000
2022-03-07 00:00:00,151.805,152.134,151.75,151.988,1136
2022-03-07 01:00:00,152.086,152.11,151.586,151.864,8462
2022-03-07 02:00:00,151.863,151.979,151.753,151.856,7109
2022-03-07 03:00:00,151.855,151.918,151.475,151.684,10465
2022-03-07 04:00:00,151.687,151.858,151.548,151.689,6684
2022-03-07 05:00:00,151.688,151.942,151.625,151.751,6046
2022-03-07 06:00:00,151.753,151.855,151.696,151.847,3237
2022-03-07 07:00:00,151.842,152.019,151.793,151.87,4120
2022-03-07 08:00:00,151.87,151.989,151.783,151.963,5303
2022-03-07 09:00:00,151.962,152.231,151.807,151.837,10099
2022-03-07 10:00:00,151.836,151.958,151.244,151.389,13527
2022-03-07 11:00:00,151.391,151.61,151.303,151.532,10962
2022-03-07 12:00:00,151.532,151.652,151.24,151.38,8842
2022-03-07 13:00:00,151.38,151.576,151.182,151.555,7868
2022-03-07 14:00:00,151.555,152.202,151.527,151.987,13071
