time,open,high,low,close,volume
2022-01-25 03:00:00,113.996,113.999,113.806,113.842,1867
2022-01-25 04:00:00,113.842,113.844,113.751,113.807,1402
2022-01-25 05:00:00,113.806,113.821,113.751,113.775,1160
2022-01-25 06:00:00,113.775,113.776,113.668,113.723,1282
2022-01-25 07:00:00,113.722,113.816,113.671,113.801,1220
2022-01-25 08:00:00,113.801,113.891,113.776,113.866,1023
2022-01-25 09:00:00,113.865,113.889,113.745,113.887,2032
2022-01-25 10:00:00,113.887,113.953,113.808,113.898,2713
2022-01-25 11:00:00,113.899,114.107,113.898,114.053,2703
2022-01-25 12:00:00,114.056,114.149,114.038,114.107,1872
2022-01-25 13:00:00,114.107,114.155,113.975,114.006,2161
2022-01-25 14:00:00,114.006,114.065,113.944,114.048,2058
2022-01-25 15:00:00,114.049,114.059,113.874,113.899,3131
2022-01-25 16:00:00,113.898,113.945,113.814,113.857,3868
2022-01-25 17:00:00,113.856,113.992,113.78,113.949,4041
2022-01-25 18:00:00,113.949,113.956,113.858,113.87,2002
2022-01-25 19:00:00,113.87,113.908,113.827,113.842,1167
2022-01-25 20:00:00,113.843,113.924,113.803,113.87,1462
2022-01-25 21:00:00,113.87,113.938,113.852,113.92,1045
2022-01-25 22:00:00,113.921,113.943,113.884,113.9,1334
2022-01-25 23:00:00,113.9,113.902,113.846,113.851,553
2022-01-26 00:00:00,113.859,113.879,113.848,113.849,339
2022-01-26 01:00:00,113.85,113.926,113.846,113.895,699
2022-01-26 02:00:00,113.896,113.899,113.787,113.825,1580
2022-01-26 03:00:00,113.825,113.872,113.777,113.866,1054
2022-01-26 04:00:00,113.866,113.894,113.829,113.861,675
2022-01-26 05:00:00,113.861,113.888,113.854,113.865,608
2022-01-26 06:00:00,113.866,113.93,113.86,113.92,601
2022-01-26 07:00:00,113.92,113.92,113.874,113.895,718
2022-01-26 08:00:00,113.895,113.969,113.87,113.968,666
2022-01-26 09:00:00,113.971,113.985,113.924,113.985,1051
2022-01-26 10:00:00,113.984,114.153,113.973,114.145,1850
2022-01-26 11:00:00,114.145,114.18,114.073,114.125,1417
2022-01-26 12:00:00,114.125,114.234,114.099,114.163,1363
2022-01-26 13:00:00,114.163,114.198,114.129,114.198,1290
2022-01-26 14:00:00,114.198,114.208,114.154,114.186,1503
2022-01-26 15:00:00,114.185,114.314,114.181,114.304,1935
2022-01-26 16:00:00,114.304,114.363,114.226,114.355,2546
2022-01-26 17:00:00,114.351,114.384,114.218,114.32,2918
2022-01-26 18:00:00,114.32,114.361,114.27,114.334,1977
2022-01-26 19:00:00,114.334,114.373,114.317,114.349,932
2022-01-26 20:00:00,114.35,114.362,114.281,114.327,1415
2022-01-26 21:00:00,114.327,114.692,114.209,114.531,7059
2022-01-26 22:00:00,114.531,114.623,114.402,114.595,5087
2022-01-26 23:00:00,114.595,114.693,114.578,114.668,1500
2022-01-27 00:00:00,114.62,114.674,114.619,114.666,626
2022-01-27 01:00:00,114.665,114.742,114.662,114.721,1409
2022-01-27 02:00:00,114.717,114.784,114.64,114.671,2328
2022-01-27 03:00:00,114.672,114.691,114.546,114.605,3124
2022-01-27 04:00:00,114.605,114.644,114.474,114.551,2608
2022-01-27 05:00:00,114.551,114.688,114.518,114.654,2298
2022-01-27 06:00:00,114.655,114.671,114.593,114.652,1634
2022-01-27 07:00:00,114.652,114.676,114.603,114.667,1720
2022-01-27 08:00:00,114.666,114.747,114.646,114.666,1743
2022-01-27 09:00:00,114.665,114.792,114.626,114.763,2423
2022-01-27 10:00:00,114.763,114.95,114.725,114.923,3362
2022-01-27 11:00:00,114.923,115.06,114.893,115.006,2719
2022-01-27 12:00:00,115.006,115.205,114.998,115.159,2368
2022-01-27 13:00:00,115.159,115.247,115.137,115.199,2332
2022-01-27 14:00:00,115.201,115.348,115.152,115.321,2353
2022-01-27 15:00:00,115.323,115.437,115.276,115.377,3714
2022-01-27 16:00:00,115.375,115.467,115.236,115.303,3486
2022-01-27 17:00:00,115.309,115.454,115.293,115.441,2802
2022-01-27 18:00:00,115.44,115.489,115.329,115.478,2155
2022-01-27 19:00:00,115.479,115.488,115.304,115.38,1607
2022-01-27 20:00:00,115.379,115.379,115.18,115.209,1702
2022-01-27 21:00:00,115.208,115.308,115.16,115.307,1560
2022-01-27 22:00:00,115.304,115.366,115.258,115.354,1493
2022-01-27 23:00:00,115.355,115.375,115.331,115.366,725
2022-01-28 00:00:00,115.347,115.35,115.263,115.305,423
2022-01-28 01:00:00,115.304,115.397,115.269,115.351,1020
2022-01-28 02:00:00,115.35,115.467,115.346,115.449,1575
2022-01-28 03:00:00,115.45,115.475,115.407,115.444,1635
2022-01-28 04:00:00,115.45,115.458,115.409,115.44,1068
2022-01-28 05:00:00,115.441,115.449,115.333,115.356,973
2022-01-28 06:00:00,115.356,115.442,115.356,115.415,915
2022-01-28 07:00:00,115.414,115.517,115.315,115.431,1254
2022-01-28 08:00:00,115.431,115.488,115.337,115.481,1437
2022-01-28 09:00:00,115.48,115.674,115.454,115.652,1857
2022-01-28 10:00:00,115.652,115.684,115.5,115.529,2365
2022-01-28 11:00:00,115.531,115.635,115.45,115.614,2068
2022-01-28 12:00:00,115.614,115.649,115.555,115.574,1474
2022-01-28 13:00:00,115.574,115.646,115.566,115.643,2040
2022-01-28 14:00:00,115.644,115.668,115.561,115.645,2275
2022-01-28 15:00:00,115.645,115.663,115.252,115.329,3948
2022-01-28 16:00:00,115.326,115.459,115.151,115.224,3427
2022-01-28 17:00:00,115.224,115.386,115.121,115.187,3206
2022-01-28 18:00:00,115.187,115.229,115.123,115.206,2241
2022-01-28 19:00:00,115.206,115.26,115.182,115.238,1021
2022-01-28 20:00:00,115.239,115.331,115.236,115.295,1002
2022-01-28 21:00:00,115.295,115.302,115.207,115.218,1000
2022-01-28 22:00:00,115.218,115.251,115.188,115.241,1016
2022-01-28 23:00:00,115.239,115.278,115.201,115.24,739
2022-01-31 00:00:00,115.277,115.336,115.272,115.312,389
2022-01-31 01:00:00,115.312,115.38,115.241,115.265,1357
2022-01-31 02:00:00,115.263,115.452,115.221,115.443,1996
2022-01-31 03:00:00,115.44,115.486,115.394,115.438,1549
2022-01-31 04:00:00,115.438,115.591,115.425,115.577,1460
2022-01-31 05:00:00,115.576,115.588,115.475,115.533,1250
2022-01-31 06:00:00,115.531,115.538,115.431,115.484,787
2022-01-31 07:00:00,115.486,115.492,115.403,115.424,966
2022-01-31 08:00:00,115.425,115.528,115.414,115.434,1217
2022-01-31 09:00:00,115.433,115.498,115.378,115.424,1788
2022-01-31 10:00:00,115.424,115.492,115.344,115.464,2678
2022-01-31 11:00:00,115.46,115.482,115.388,115.426,1520
2022-01-31 12:00:00,115.427,115.528,115.414,115.48,1261
2022-01-31 13:00:00,115.48,115.523,115.434,115.513,1834
