time,open,high,low,close,volume
2022-03-14 04:00:00,1.27458,1.27892,1.27454,1.27786,8921
2022-03-14 08:00:00,1.27787,1.27878,1.27453,1.27541,16017
2022-03-14 12:00:00,1.27541,1.2778399999999999,1.27445,1.27629,18945
2022-03-14 16:00:00,1.27629,1.28159,1.27381,1.2809599999999999,23621
2022-03-14 20:00:00,1.28097,1.28267,1.28086,1.28193,10205
2022-03-15 00:00:00,1.28175,1.28532,1.2814,1.2849300000000001,7503
2022-03-15 04:00:00,1.28497,1.28506,1.28177,1.28248,9773
2022-03-15 08:00:00,1.28248,1.28714,1.28241,1.28583,19795
2022-03-15 12:00:00,1.28583,1.2867,1.2819,1.28199,17803
2022-03-15 16:00:00,1.28197,1.283,1.27775,1.27856,21627
2022-03-15 20:00:00,1.27854,1.27945,1.27615,1.27678,10161
2022-03-16 00:00:00,1.2766,1.2775400000000001,1.27579,1.27594,6865
2022-03-16 04:00:00,1.27593,1.27698,1.27375,1.27408,6665
2022-03-16 08:00:00,1.27412,1.27541,1.27189,1.27223,15595
2022-03-16 12:00:00,1.27222,1.27248,1.26872,1.2696399999999999,16969
2022-03-16 16:00:00,1.26965,1.27464,1.26917,1.27211,23115
2022-03-16 20:00:00,1.27256,1.2778399999999999,1.26728,1.26793,27801
2022-03-17 00:00:00,1.2677100000000001,1.2698800000000001,1.26689,1.2692700000000001,9951
2022-03-17 04:00:00,1.2692700000000001,1.26936,1.26722,1.2681,7429
2022-03-17 08:00:00,1.26811,1.26883,1.26519,1.2653699999999999,13508
2022-03-17 12:00:00,1.26541,1.2679,1.2652999999999999,1.26621,19119
2022-03-17 16:00:00,1.2662,1.2674,1.26297,1.2637,16338
2022-03-17 20:00:00,1.2637,1.26498,1.26126,1.26235,7287
2022-03-18 00:00:00,1.26216,1.26356,1.2614,1.26214,7403
2022-03-18 04:00:00,1.26213,1.26301,1.26045,1.26057,5427
2022-03-18 08:00:00,1.26057,1.26218,1.25952,1.26202,12445
2022-03-18 12:00:00,1.26201,1.2639,1.25987,1.26231,14290
2022-03-18 16:00:00,1.26231,1.26467,1.26007,1.26098,17881
2022-03-18 20:00:00,1.26096,1.2617,1.25888,1.2603,5859
2022-03-21 00:00:00,1.2610000000000001,1.26148,1.25913,1.25929,5034
2022-03-21 04:00:00,1.25929,1.26138,1.25929,1.26095,3045
2022-03-21 08:00:00,1.26094,1.26151,1.25896,1.26083,9597
2022-03-21 12:00:00,1.26084,1.2622,1.25834,1.25949,13422
2022-03-21 16:00:00,1.25945,1.26121,1.25651,1.2597800000000001,20335
2022-03-21 20:00:00,1.2597800000000001,1.26055,1.25835,1.25922,9974
2022-03-22 00:00:00,1.25907,1.26033,1.25876,1.25998,5870
2022-03-22 04:00:00,1.25998,1.26071,1.25706,1.26024,7522
2022-03-22 08:00:00,1.26025,1.2624,1.25895,1.2613400000000001,13453
2022-03-22 12:00:00,1.26135,1.2613699999999999,1.25739,1.25792,14969
2022-03-22 16:00:00,1.2579099999999999,1.26177,1.25746,1.25808,14918
2022-03-22 20:00:00,1.25808,1.25864,1.25668,1.2570999999999999,6296
2022-03-23 00:00:00,1.25701,1.2585899999999999,1.25641,1.25776,6051
2022-03-23 04:00:00,1.25777,1.25903,1.25654,1.25759,6112
2022-03-23 08:00:00,1.25759,1.25909,1.2570000000000001,1.25854,9756
2022-03-23 12:00:00,1.25855,1.26057,1.25815,1.25844,12665
2022-03-23 16:00:00,1.25843,1.25844,1.25421,1.25633,15276
2022-03-23 20:00:00,1.25633,1.2570299999999999,1.25549,1.25626,6671
2022-03-24 00:00:00,1.2561200000000001,1.25756,1.25557,1.25708,6066
2022-03-24 04:00:00,1.25708,1.25845,1.25628,1.25765,6045
2022-03-24 08:00:00,1.25765,1.2586300000000001,1.2559,1.2578,9964
2022-03-24 12:00:00,1.25779,1.25792,1.2551999999999999,1.25579,13932
2022-03-24 16:00:00,1.2558099999999999,1.2558099999999999,1.25096,1.25421,17194
