time,open,high,low,close,volume
2022-04-15 05:45:00,165.052,165.258,165.024,165.215,974
2022-04-15 06:00:00,165.213,165.213,165.044,165.081,1139
2022-04-15 06:15:00,165.083,165.169,165.03,165.062,1754
2022-04-15 06:30:00,165.066,165.132,165.042,165.117,2024
2022-04-15 06:45:00,165.116,165.126,165.058,165.075,908
2022-04-15 07:00:00,165.075,165.135,165.045,165.104,213
2022-04-15 07:15:00,165.104,165.187,165.022,165.178,436
2022-04-15 07:30:00,165.176,165.209,165.134,165.184,1585
2022-04-15 07:45:00,165.184,165.189,165.107,165.173,588
2022-04-15 08:00:00,165.173,165.18,165.128,165.133,489
2022-04-15 08:15:00,165.133,165.191,164.95,165.145,785
2022-04-15 08:30:00,165.145,165.23,165.086,165.144,1234
2022-04-15 08:45:00,165.153,165.205,165.109,165.127,1234
2022-04-15 09:00:00,165.133,165.213,165.036,165.167,1065
2022-04-15 09:15:00,165.186,165.394,165.135,165.246,346
2022-04-15 09:30:00,165.246,165.412,165.19,165.348,2167
2022-04-15 09:45:00,165.344,165.401,165.221,165.241,2050
2022-04-15 10:00:00,165.241,165.305,165.155,165.23,1107
2022-04-15 10:15:00,165.228,165.275,165.09,165.199,1600
2022-04-15 10:30:00,165.197,165.326,165.193,165.245,1081
2022-04-15 10:45:00,165.245,165.329,165.222,165.327,633
2022-04-15 11:00:00,165.327,165.35,165.243,165.285,1043
2022-04-15 11:15:00,165.285,165.323,165.231,165.282,1015
2022-04-15 11:30:00,165.282,165.315,165.252,165.283,646
2022-04-15 11:45:00,165.292,165.345,165.206,165.26,1580
2022-04-15 12:00:00,165.285,165.291,165.184,165.272,888
2022-04-15 12:15:00,165.274,165.305,165.212,165.25,1169
2022-04-15 12:30:00,165.249,165.323,165.247,165.281,904
2022-04-15 12:45:00,165.281,165.288,165.258,165.278,263
2022-04-15 13:00:00,165.278,165.296,165.267,165.278,425
2022-04-15 13:15:00,165.278,165.29,165.241,165.248,895
2022-04-15 13:30:00,165.246,165.292,165.235,165.239,419
2022-04-15 13:45:00,165.239,165.263,165.173,165.182,1613
2022-04-15 14:00:00,165.182,165.227,165.112,165.154,1355
2022-04-15 14:15:00,165.154,165.191,165.083,165.106,1713
2022-04-15 14:30:00,165.107,165.221,165.098,165.169,696
2022-04-15 14:45:00,165.17,165.295,165.164,165.223,1551
2022-04-15 15:00:00,165.228,165.347,165.202,165.327,2009
2022-04-15 15:15:00,165.327,165.335,165.223,165.274,1591
2022-04-15 15:30:00,165.275,165.31,165.227,165.255,996
2022-04-15 15:45:00,165.257,165.279,165.218,165.226,1272
2022-04-15 16:00:00,165.233,165.274,165.201,165.22,1242
2022-04-15 16:15:00,165.22,165.308,165.197,165.241,1052
2022-04-15 16:30:00,165.241,165.282,165.212,165.239,196
2022-04-15 16:45:00,165.239,165.3,165.23,165.264,159
2022-04-15 17:00:00,165.264,165.295,165.197,165.228,330
2022-04-15 17:15:00,165.228,165.228,165.187,165.206,184
2022-04-15 17:30:00,165.217,165.233,165.17,165.207,649
2022-04-15 17:45:00,165.205,165.213,165.179,165.191,247
2022-04-15 18:00:00,165.186,165.202,165.148,165.164,84
2022-04-15 18:15:00,165.163,165.182,165.09,165.109,296
2022-04-15 18:30:00,165.109,165.111,164.979,165.0,266
2022-04-15 18:45:00,165.0,165.006,164.969,164.979,273
2022-04-15 19:00:00,164.977,165.074,164.976,165.034,615
2022-04-15 19:15:00,165.032,165.035,165.002,165.018,1096
2022-04-15 19:30:00,165.018,165.076,165.011,165.071,358
2022-04-15 19:45:00,165.071,165.108,165.043,165.084,1231
2022-04-15 20:00:00,165.086,165.096,165.048,165.065,513
2022-04-15 20:15:00,165.066,165.102,165.043,165.102,384
2022-04-15 20:30:00,165.098,165.101,165.077,165.097,416
2022-04-15 20:45:00,165.094,165.119,165.071,165.097,781
2022-04-15 21:00:00,165.097,165.106,165.077,165.089,1015
2022-04-15 21:15:00,165.089,165.104,165.078,165.09,1408
2022-04-15 21:30:00,165.087,165.167,165.085,165.156,2372
2022-04-15 21:45:00,165.155,165.175,165.072,165.082,1767
2022-04-15 22:00:00,165.074,165.132,165.07,165.088,739
2022-04-15 22:15:00,165.082,165.099,165.011,165.011,1041
2022-04-15 22:30:00,165.029,165.063,164.966,165.059,381
2022-04-15 22:45:00,165.055,165.079,165.013,165.078,150
2022-04-15 23:00:00,165.078,165.111,165.054,165.056,85
2022-04-15 23:15:00,165.061,165.131,165.054,165.101,228
2022-04-15 23:30:00,165.102,165.201,165.079,165.107,87
2022-04-15 23:45:00,165.088,165.175,165.009,165.009,37
2022-04-18 00:00:00,164.945,165.016,164.927,165.003,54
2022-04-18 00:15:00,164.987,165.041,164.985,164.985,48
2022-04-18 00:30:00,164.991,165.004,164.92,164.949,60
2022-04-18 00:45:00,164.949,165.068,164.949,165.068,67
2022-04-18 01:00:00,165.039,165.176,164.929,165.166,483
2022-04-18 01:15:00,165.166,165.403,165.15,165.353,654
2022-04-18 01:30:00,165.353,165.395,165.333,165.363,336
2022-04-18 01:45:00,165.363,165.419,165.299,165.299,459
2022-04-18 02:00:00,165.297,165.317,165.217,165.279,579
2022-04-18 02:15:00,165.285,165.327,165.242,165.256,605
2022-04-18 02:30:00,165.259,165.374,165.242,165.371,638
2022-04-18 02:45:00,165.371,165.397,165.293,165.32,520
2022-04-18 03:00:00,165.318,165.351,165.269,165.315,817
2022-04-18 03:15:00,165.321,165.413,165.288,165.318,1166
2022-04-18 03:30:00,165.318,165.349,165.193,165.246,860
2022-04-18 03:45:00,165.247,165.272,165.066,165.094,1457
2022-04-18 04:00:00,165.093,165.142,165.043,165.056,1163
2022-04-18 04:15:00,165.057,165.151,164.761,164.808,1784
2022-04-18 04:30:00,164.812,164.975,164.812,164.919,1177
2022-04-18 04:45:00,164.92,165.042,164.92,165.013,926
2022-04-18 05:00:00,165.014,165.164,165.011,165.087,899
2022-04-18 05:15:00,165.088,165.094,165.041,165.047,597
2022-04-18 05:30:00,165.048,165.064,164.954,164.963,565
2022-04-18 05:45:00,164.967,165.091,164.95,165.061,502
2022-04-18 06:00:00,165.057,165.073,164.962,164.971,532
2022-04-18 06:15:00,164.971,165.014,164.962,164.979,511
2022-04-18 06:30:00,164.978,165.013,164.955,164.986,528
2022-04-18 06:45:00,164.988,165.064,164.967,165.014,629
2022-04-18 07:00:00,165.013,165.054,164.996,165.038,617
2022-04-18 07:15:00,165.037,165.039,164.964,164.975,531
2022-04-18 07:30:00,164.975,164.988,164.897,164.897,421
2022-04-18 07:45:00,164.897,164.912,164.848,164.909,436
