time,open,high,low,close,volume
2022-02-17 20:00:00,1897.7,1901.11,1896.67,1898.2,13761
2022-02-18 00:00:00,1898.63,1902.44,1888.27,1890.27,11834
2022-02-18 04:00:00,1890.21,1893.45,1888.53,1891.85,12051
2022-02-18 08:00:00,1891.86,1895.81,1889.89,1894.76,15925
2022-02-18 12:00:00,1894.76,1899.95,1886.54,1896.47,21351
2022-02-18 16:00:00,1896.36,1898.52,1890.37,1896.81,29793
2022-02-18 20:00:00,1896.83,1899.4,1893.57,1897.68,13398
2022-02-21 00:00:00,1899.94,1908.24,1891.6,1895.65,18662
2022-02-21 04:00:00,1895.65,1898.99,1889.21,1891.56,17025
2022-02-21 08:00:00,1891.55,1898.31,1887.6,1896.31,22159
2022-02-21 12:00:00,1896.29,1898.64,1892.4,1895.93,22344
2022-02-21 16:00:00,1895.94,1897.72,1892.44,1897.69,15322
2022-02-21 20:00:00,1897.67,1906.09,1896.52,1903.0,4981
2022-02-22 00:00:00,1908.18,1914.02,1905.24,1909.42,17741
2022-02-22 04:00:00,1909.39,1910.34,1906.38,1910.14,13287
2022-02-22 08:00:00,1910.13,1913.29,1895.7,1900.59,28159
2022-02-22 12:00:00,1900.63,1905.92,1891.37,1902.2,31577
2022-02-22 16:00:00,1902.19,1907.16,1893.88,1903.38,32096
2022-02-22 20:00:00,1903.19,1905.66,1897.61,1898.46,16470
2022-02-23 00:00:00,1898.25,1901.27,1897.75,1898.3,5779
2022-02-23 04:00:00,1898.34,1900.3,1894.62,1896.24,8498
2022-02-23 08:00:00,1896.28,1898.38,1889.58,1893.38,17679
2022-02-23 12:00:00,1893.39,1904.43,1892.73,1901.2,17460
2022-02-23 16:00:00,1901.23,1910.42,1899.66,1908.24,27031
2022-02-23 20:00:00,1908.22,1910.29,1904.59,1908.92,14877
2022-02-24 00:00:00,1908.55,1914.07,1908.55,1913.44,14607
2022-02-24 04:00:00,1913.46,1949.03,1912.57,1940.4,46634
2022-02-24 08:00:00,1940.45,1954.24,1935.69,1953.44,47023
2022-02-24 12:00:00,1953.43,1974.44,1950.45,1959.26,51167
2022-02-24 16:00:00,1959.27,1963.09,1913.39,1923.61,55663
2022-02-24 20:00:00,1923.74,1926.9,1877.84,1903.49,35199
2022-02-25 00:00:00,1903.97,1921.5,1903.37,1909.38,18490
2022-02-25 04:00:00,1909.36,1917.1,1907.93,1916.54,17541
2022-02-25 08:00:00,1916.42,1921.26,1908.46,1910.61,27080
2022-02-25 12:00:00,1910.61,1913.88,1886.14,1887.41,34093
2022-02-25 16:00:00,1887.32,1893.63,1882.91,1887.39,40412
2022-02-25 20:00:00,1887.39,1892.84,1885.76,1888.99,17424
2022-02-28 00:00:00,1916.6,1929.6,1904.09,1913.31,21517
2022-02-28 04:00:00,1913.31,1913.51,1904.39,1908.09,17323
2022-02-28 08:00:00,1908.09,1910.02,1893.16,1899.62,25226
2022-02-28 12:00:00,1899.64,1918.26,1898.83,1917.22,25181
2022-02-28 16:00:00,1917.25,1917.4,1890.92,1899.22,40084
2022-02-28 20:00:00,1899.29,1910.89,1897.07,1908.78,21546
2022-03-01 00:00:00,1907.75,1908.74,1902.67,1902.96,7043
2022-03-01 04:00:00,1902.95,1907.66,1901.38,1907.06,7844
2022-03-01 08:00:00,1907.05,1918.57,1904.61,1916.22,17102
2022-03-01 12:00:00,1916.22,1926.27,1910.82,1916.79,34473
2022-03-01 16:00:00,1916.79,1935.41,1916.1,1934.77,45577
2022-03-01 20:00:00,1934.76,1950.15,1934.38,1944.98,30102
2022-03-02 00:00:00,1941.89,1945.34,1930.99,1935.56,12074
2022-03-02 04:00:00,1935.56,1940.57,1933.29,1934.61,17257
2022-03-02 08:00:00,1934.64,1947.88,1931.35,1932.94,29188
