time,open,high,low,close,volume
2022-04-15 03:15:00,0.67796,0.67797,0.67755,0.67765,70
2022-04-15 03:30:00,0.67765,0.67778,0.67751,0.67752,31
2022-04-15 03:45:00,0.67753,0.67791,0.6773,0.67745,354
2022-04-15 04:00:00,0.67748,0.67777,0.6774,0.67777,295
2022-04-15 04:15:00,0.67776,0.67777,0.67772,0.67776,59
2022-04-15 04:30:00,0.67776,0.67779,0.67734,0.67748,80
2022-04-15 04:45:00,0.67748,0.6783,0.67748,0.67755,167
2022-04-15 05:00:00,0.67753,0.67783,0.67733,0.67776,73
2022-04-15 05:15:00,0.67776,0.67787,0.6776,0.67767,349
2022-04-15 05:30:00,0.67767,0.67778,0.67748,0.6775,206
2022-04-15 05:45:00,0.6775,0.67774,0.67742,0.67754,137
2022-04-15 06:00:00,0.67754,0.67754,0.67712,0.67716,32
2022-04-15 06:15:00,0.67717,0.67724,0.67713,0.67716,33
2022-04-15 06:30:00,0.67716,0.67716,0.67709,0.67709,12
2022-04-15 06:45:00,0.67711,0.67719,0.67708,0.67708,20
2022-04-15 07:00:00,0.67708,0.67709,0.67698,0.67701,123
2022-04-15 07:15:00,0.677,0.67713,0.677,0.67702,23
2022-04-15 07:30:00,0.67701,0.67705,0.67699,0.67705,65
2022-04-15 07:45:00,0.67703,0.67707,0.67702,0.67707,17
2022-04-15 08:00:00,0.67706,0.67706,0.67701,0.67702,55
2022-04-15 08:15:00,0.67702,0.67703,0.67694,0.67697,77
2022-04-15 08:30:00,0.67698,0.67698,0.67673,0.67678,85
2022-04-15 08:45:00,0.67677,0.67696,0.67677,0.67684,79
2022-04-15 09:00:00,0.67684,0.67687,0.67675,0.67683,42
2022-04-15 09:15:00,0.67688,0.67831,0.67687,0.67707,399
2022-04-15 09:30:00,0.67708,0.67798,0.67703,0.67715,820
2022-04-15 09:45:00,0.67716,0.6778,0.67704,0.67743,368
2022-04-15 10:00:00,0.67721,0.67772,0.67715,0.67758,982
2022-04-15 10:15:00,0.67758,0.67774,0.6774,0.67746,614
2022-04-15 10:30:00,0.67746,0.67746,0.67681,0.67705,241
2022-04-15 10:45:00,0.67705,0.67715,0.6768,0.67707,203
2022-04-15 11:00:00,0.67703,0.67733,0.67699,0.67708,227
2022-04-15 11:15:00,0.67708,0.67784,0.67701,0.6773,1342
2022-04-15 11:30:00,0.67731,0.67792,0.67712,0.67767,1215
2022-04-15 11:45:00,0.67767,0.67809,0.67751,0.67777,1240
2022-04-15 12:00:00,0.67777,0.67802,0.67753,0.67796,1227
2022-04-15 12:15:00,0.67798,0.678,0.67755,0.67761,398
2022-04-15 12:30:00,0.67761,0.67775,0.67752,0.67762,90
2022-04-15 12:45:00,0.67762,0.67779,0.67747,0.67757,426
2022-04-15 13:00:00,0.67757,0.67796,0.67751,0.67765,704
2022-04-15 13:15:00,0.67767,0.67798,0.67761,0.67774,771
2022-04-15 13:30:00,0.67774,0.67831,0.67763,0.67797,905
